# 村人が自分の呼び名を言い換えた記録（収束が可能だった証拠）
# 初回命名 126件 / 言い換え 123件 / うち他人から聞いた名を採用 74件

T+00:04:39 | 小柳イオ#e51 | grid12,2 | 「広場」→「採石場」 ★聞いた名を採用
T+02:24:44 | 風間エマ#b5b | grid11,3 | 「この作業エリア」→「南西の採石場」 ★聞いた名を採用
T+02:26:52 | 小柳ハル#dea | grid11,3 | 「西側一帯」→「西側エリア」 ★聞いた名を採用
T+02:27:16 | 谷口アル#a65 | grid12,3 | 「南側の石切り場」→「西側エリア」 ★聞いた名を採用
T+02:27:34 | 桜井ボブ#482 | grid11,3 | 「北の採石場」→「村の東側エリア」 ★聞いた名を採用
T+02:28:21 | 谷口アル#a65 | grid11,3 | 「南側の石切り場」→「西側エリア」 ★聞いた名を採用
T+02:29:42 | 桜井ボブ#482 | grid12,3 | 「南側の石切り場」→「村の東側エリア」 
T+02:34:01 | 大川オト#72a | grid11,3 | 「この作業エリア」→「西の森林」 
T+02:39:01 | 風間ダイ#f7c | grid11,2 | 「北側の採石場」→「南西の採石場」 
T+02:41:58 | 榎本アキ#01c | grid12,3 | 「西の森」→「西側エリア」 ★聞いた名を採用
T+02:43:01 | 大川オト#72a | grid11,3 | 「西の森林」→「村の外縁」 
T+02:43:02 | 榎本ソラ#3f3 | grid11,2 | 「南側の森」→「北側の未踏地」 ★聞いた名を採用
T+02:43:43 | 谷口アル#a65 | grid11,3 | 「西側エリア」→「西の森」 ★聞いた名を採用
T+02:44:11 | 小柳イオ#e51 | grid11,3 | 「北側一帯」→「北の未踏地」 
T+02:46:11 | 小柳イオ#e51 | grid11,3 | 「北の未踏地」→「北側一帯」 
T+02:51:49 | 風間の子#38f | grid11,3 | 「西の露天掘り場」→「西の森」 ★聞いた名を採用
T+02:59:41 | 小柳ナギ#9e9 | grid11,3 | 「西側エリア」→「南側採石場」 
T+03:00:24 | 風間の子#38f | grid11,3 | 「西の森」→「西の未踏地」 ★聞いた名を採用
T+03:02:49 | 小柳ナギ#9e9 | grid11,3 | 「南側採石場」→「西の未踏地」 ★聞いた名を採用
T+03:03:49 | 風間の子#38f | grid12,3 | 「西の露天掘り場」→「西の未踏地」 ★聞いた名を採用
T+03:04:41 | 谷口アル#a65 | grid11,3 | 「西の森」→「西の露天掘り場」 ★聞いた名を採用
T+03:05:54 | 風間の子#38f | grid11,3 | 「西の未踏地」→「北の未踏地」 
T+03:07:29 | 東雲カイ#a50 | grid11,3 | 「北側」→「北側の拠点」 
T+03:09:46 | 榎本ソラ#3f3 | grid11,3 | 「西の露天掘り場」→「西の未踏地」 ★聞いた名を採用
T+03:11:46 | 谷口アル#a65 | grid11,2 | 「南側の石切り場」→「西の未踏地」 
T+03:14:16 | 小柳ハルト#10d | grid11,3 | 「西の森」→「西の露天掘り場」 ★聞いた名を採用
T+03:14:18 | 谷口アル#a65 | grid12,3 | 「西側エリア」→「西の未踏地」 ★聞いた名を採用
T+03:15:39 | 風間の子#38f | grid11,3 | 「北の未踏地」→「西の未踏地」 ★聞いた名を採用
T+03:22:18 | 大川タケル#e00 | grid12,3 | 「採石場」→「南側の石切り場」 ★聞いた名を採用
T+03:22:48 | 大川タケル#f91 | grid11,2 | 「採石場」→「北東採石場」 ★聞いた名を採用
T+03:24:41 | 谷口アル#a65 | grid11,3 | 「西の露天掘り場」→「西の未踏地」 ★聞いた名を採用
T+03:25:24 | 大川オト#72a | grid11,3 | 「村の外縁」→「この作業エリア」 ★聞いた名を採用
T+03:25:38 | 大川タケル#e00 | grid11,3 | 「南方の未踏地」→「南側の石切り場」 ★聞いた名を採用
T+03:26:29 | 大川タケル#e00 | grid12,3 | 「南側の石切り場」→「南側の未踏地」 
T+03:29:13 | 東雲カイ#a50 | grid12,3 | 「北側の未踏地」→「北側の拠点」 
T+03:29:36 | 榎本ソラ#3f3 | grid12,3 | 「西の露天掘り場」→「西側エリア」 ★聞いた名を採用
T+03:31:21 | 小柳ハルト#10d | grid11,2 | 「西の森」→「西の露天掘り場」 
T+03:40:11 | 浜田イオ#796 | grid12,2 | 「南側の石切り場」→「南側一帯」 
T+04:02:26 | 風間エマ#b5b | grid11,2 | 「南西の採石場」→「西の木立」 
T+04:16:13 | 東雲カイ#a50 | grid11,2 | 「西側一帯」→「西の露天掘り場」 ★聞いた名を採用
T+04:27:09 | 大川タケル#e00 | grid11,3 | 「南側の石切り場」→「東の採石場」 
T+04:39:58 | 大川タケル#e00 | grid12,3 | 「南側の未踏地」→「南側の石切り場」 ★聞いた名を採用
T+05:06:36 | 風間の子#38f | grid12,2 | 「この作業エリア」→「北東エリア」 ★聞いた名を採用
T+05:09:01 | 谷口アル#a65 | grid12,2 | 「南の奥地」→「北東エリア」 ★聞いた名を採用
T+05:17:44 | 東雲カイ#a50 | grid11,2 | 「西の露天掘り場」→「北側の拠点」 
T+05:58:17 | 風間タケル#ab9 | grid12,2 | 「北東」→「西側エリア」 ★聞いた名を採用
