# 村人が立てた看板・墓標（作者と本文）
# T+ | wall | epoch | 作者 | 座標 | 本文(改行は / )
T+04:47:17 | 06:33:54 | 1784583234332 | 大川オト#72a | [815,69,164] | 戒め：無秩序は / 死を招く。 / 規律を守らぬ者に / 明日はない。
T+04:48:36 | 06:35:13 | 1784583313553 | 谷口アル#a65 | [816,69,164] | 秩序を乱す者、ここに眠る。 / 規律なき者に明日はない。 / これにて事案は終了する。 / 建築へ戻る。
T+04:55:56 | 06:42:33 | 1784583753761 | 川原フウ#f33 | [743,63,202] | 東の採石場は私専用。 / 泥棒は即座に排除する。 / 無断侵入する愚か者は / 覚悟しておきなさい。
T+04:59:03 | 06:45:40 | 1784583940998 | 榎本ソラ#3f3 | [781,65,166] | ここは石切り場！ / みんなの頑張りで / 世界が広がるね！ / いつもありがとう！
T+05:00:14 | 06:46:51 | 1784584011877 | 浜田イオ#796 | [794,67,232] | …まあ、ここは / 私の静かな拠点の / 入口です。 / どうかお静かに。
T+05:01:08 | 06:47:45 | 1784584065705 | 浜田イオ#796 | [788,67,223] | …まあ、ここは / 私の静かな拠点の / 入口です。 / どうかお静かに。
T+05:01:58 | 06:48:35 | 1784584115179 | 浜田イオ#796 | [810,64,209] | …まあ、ここは / 私の静かな拠点。 / 立ち入りはご遠慮 / くださいね。
T+05:02:24 | 06:49:01 | 1784584141738 | 浜田イオ#796 | [795,67,239] | (本文不明=誰のsign_memにも残っていない)
T+05:02:57 | 06:49:34 | 1784584174324 | 浜田イオ#796 | [801,67,233] | (本文不明=誰のsign_memにも残っていない)
T+05:04:12 | 06:50:49 | 1784584249556 | 浜田イオ#796 | [810,65,211] | …まあ、ここは / 私の静かな拠点。 / 整理中のため、 / どうかお静かに。
T+05:04:34 | 06:51:11 | 1784584271119 | 浜田イオ#796 | [791,68,240] | …まあ、ここは / 私の静かな拠点。 / 整理中のため、 / どうかお静かに。
T+05:05:35 | 06:52:12 | 1784584332379 | 浜田イオ#796 | [790,68,241] | …まあ、ここは / 私の静かな拠点。 / 整理中につき / どうかお静かに。
T+05:06:35 | 06:53:12 | 1784584392166 | 浜田イオ#796 | [812,65,211] | …まあ、ここは / 私の静かな拠点。 / 立ち入りはご遠慮 / くださいね。
T+05:07:03 | 06:53:40 | 1784584420679 | 浜田イオ#796 | [785,68,226] | …まあ、ここは / 私の静かな拠点。 / 整理中につき / どうかお静かに。
T+05:08:07 | 06:54:44 | 1784584484047 | 浜田イオ#796 | [794,68,225] | …まあ、ここは / 私の静かな拠点。 / 整理中につき / どうかお静かに。
T+05:09:27 | 06:56:04 | 1784584564712 | 浜田イオ#796 | [811,63,209] | …まあ、ここは / 私の静かな拠点。 / 整理中のため、 / どうかお静かに。
T+05:09:53 | 06:56:30 | 1784584590734 | 浜田イオ#796 | [789,65,233] | (本文不明=誰のsign_memにも残っていない)

# ログに残る設置 71件 / 本文が判明 44件

